DATE,CE16OV
2003-04-01,137633
2003-05-01,137544
2003-06-01,137790
2003-07-01,137474
2003-08-01,137549
2003-09-01,137609
2003-10-01,137984
2003-11-01,138424
2003-12-01,138411
2004-01-01,138472
2004-02-01,138542
2004-03-01,138453
2004-04-01,138680
2004-05-01,138852
2004-06-01,139174
2004-07-01,139556
2004-08-01,139573
2004-09-01,139487
2004-10-01,139732
2004-11-01,140231
2004-12-01,140125
2005-01-01,140245
2005-02-01,140385
2005-03-01,140654
2005-04-01,141254
2005-05-01,141609
2005-06-01,141714
2005-07-01,142026
2005-08-01,142434
2005-09-01,142401
2005-10-01,142548
2005-11-01,142499
2005-12-01,142752
2006-01-01,143150
2006-02-01,143457
2006-03-01,143741
2006-04-01,143761
2006-05-01,144089
2006-06-01,144353
2006-07-01,144202
2006-08-01,144625
2006-09-01,144815
2006-10-01,145314
2006-11-01,145534
2006-12-01,145970
2007-01-01,146028
2007-02-01,146057
2007-03-01,146320
2007-04-01,145586
2007-05-01,145903
2007-06-01,146063
2007-07-01,145905
2007-08-01,145682
2007-09-01,146244
2007-10-01,145946
2007-11-01,146595
2007-12-01,146273
2008-01-01,146378
2008-02-01,146156
2008-03-01,146086
2008-04-01,146132
2008-05-01,145908
2008-06-01,145737
2008-07-01,145532
2008-08-01,145203
2008-09-01,145076
2008-10-01,144802
2008-11-01,144100
2008-12-01,143369
2009-01-01,142152
2009-02-01,141640
2009-03-01,140707
2009-04-01,140656
2009-05-01,140248
2009-06-01,140009
2009-07-01,139901
2009-08-01,139492
2009-09-01,138818
2009-10-01,138432
2009-11-01,138659
2009-12-01,138013
2010-01-01,138438
2010-02-01,138581
2010-03-01,138751
2010-04-01,139297
2010-05-01,139241
2010-06-01,139141
2010-07-01,139179
2010-08-01,139438
2010-09-01,139396
2010-10-01,139119
2010-11-01,139044
2010-12-01,139301
2011-01-01,139250
2011-02-01,139394
2011-03-01,139639
2011-04-01,139586
2011-05-01,139624
2011-06-01,139384
2011-07-01,139524
2011-08-01,139942
2011-09-01,140183
2011-10-01,140368
2011-11-01,140826
2011-12-01,140902
2012-01-01,141584
2012-02-01,141858
2012-03-01,142036
2012-04-01,141899
2012-05-01,142206
2012-06-01,142391
2012-07-01,142292
2012-08-01,142291
2012-09-01,143044
2012-10-01,143431
2012-11-01,143333
2012-12-01,143330
2013-01-01,143292
2013-02-01,143362
2013-03-01,143316
2013-04-01,143635
2013-05-01,143882
2013-06-01,143999
2013-07-01,144264
2013-08-01,144326
2013-09-01,144418
2013-10-01,143537
2013-11-01,144479
2013-12-01,144778
2014-01-01,145150
2014-02-01,145134
2014-03-01,145648
2014-04-01,145667
2014-05-01,145825
2014-06-01,146247
